,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases
State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0
2020-03-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,5,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,1
2020-03-18,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,4,0,0,0,0,0,0,3,0,1,8,0,2,0,0
2020-03-19,0,2,0,0,0,1,1,0,3,0,2,0,0,0,0,1,1,0,0,3,0,0,0,1,0,1,2,0,1,3,0,3,2,0
2020-03-20,0,0,0,0,0,4,0,0,6,0,5,2,2,0,0,0,12,2,4,4,0,0,0,0,0,1,8,0,0,3,0,4,0,1
2020-03-21,0,2,0,0,0,0,0,0,7,0,7,2,0,0,0,5,12,3,0,12,0,0,0,0,0,10,7,0,3,2,0,4,0,2
2020-03-22,0,1,0,0,2,1,0,0,1,0,4,0,0,0,0,6,15,0,2,10,0,0,0,0,0,8,5,0,3,6,0,2,0,3
2020-03-23,0,1,0,0,1,1,0,0,2,0,12,7,1,0,0,7,28,0,0,15,0,0,0,0,0,2,3,0,3,6,0,4,1,0
2020-03-24,0,1,0,0,0,0,0,0,0,0,6,2,0,2,0,8,14,0,1,18,1,0,0,0,0,6,0,0,6,6,0,1,0,2
